# /home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75/CPo3Ti40S400_75.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0612a/TemplateFiles/CPo3Ti40S400_75.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.8864650549564748, -3.8864650549564748], error=0.6782924633690215, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
452000	3.6157113958434526E-5	22037.871023339634
453000	4.8830370580722804E-5	26104.852989839565
454000	5.131996881989197E-5	26087.39341914015
455000	4.9831644051463695E-5	18542.210027643538
456000	1.7563382492528306E-5	2772.612586510233
457000	1.1217510965399438E-5	12406.799025517807
458000	5.084777275828406E-5	7605.421844886055
459000	4.8788507605131594E-5	18386.938428421425
460000	1.3999646679817484E-5	2524.701288515405
461000	1.4885160424122266E-5	14551.105779442643
462000	1.8914657375415522E-5	4744.375584123183
463000	4.244448772251355E-5	24880.58902829698
464000	4.5454551474984184E-5	20062.42548969833
465000	1.5103235790347323E-5	3365.826206610365
466000	3.986091222974169E-5	12547.859886085367
467000	1.1133292213521977E-5	5231.455117273963
468000	2.9064275668980554E-5	3315.9116196375726
469000	4.633760941423008E-5	24641.71306167942
470000	6.006823443422882E-6	4667.061712243485
471000	1.183704629739702E-5	15098.231506040516
472000	1.0414746106899364E-5	5907.427067780002
473000	7.94782169755095E-6	2124.8987651003827
474000	4.2777355011698585E-6	7504.969529044566
475000	1.3910391176412435E-5	2026.773543271991
476000	5.041398647413161E-5	25663.974747179578
477000	4.4402768508095756E-5	25476.49795052911
478000	3.1615529710860375E-5	25433.425226184252
479000	3.206601994818146E-5	4689.245420465631
480000	3.1803038296935264E-5	20222.294779716955
481000	4.888451136507529E-5	24753.560937574584
482000	3.367894618926547E-5	24858.56310456284
483000	1.987366243234989E-5	2722.127347925858
484000	4.784181207220421E-5	25333.015037347905
485000	4.4231236837216875E-5	25655.967932421197
486000	4.43831115336003E-5	4981.575161991545
487000	3.933655306503806E-5	20959.19816896869
488000	4.616264744834711E-5	12520.73730149566
489000	2.2906472231176262E-5	1906.4901548912464
490000	4.153516629648275E-5	20336.23755956404
491000	4.0493875354353943E-5	21193.63042610238
492000	4.99390383304738E-5	22911.570122832298
493000	5.110815785242348E-5	26098.86719997771
494000	4.098760159798445E-5	25041.78854384103
495000	8.060889219827597E-6	6142.49119819708
496000	1.0360099477086608E-5	1466.3754737426289
497000	4.057490341599923E-5	25698.068829519536
498000	4.770167037009785E-5	20441.426567756807
499000	3.818323935686896E-5	10907.128633407992
500000	1.8973151825300175E-5	4583.721555272013
501000	5.117155103023838E-5	21854.668524204604
502000	2.5905541398361916E-5	23465.46522919005
503000	1.7184527168840973E-5	5254.881425350712
504000	4.548997858193372E-5	24727.809100097867
505000	4.847605054983699E-5	25181.518820407637
506000	4.480206818549671E-5	21744.62863176457
507000	5.110543344782785E-6	8202.962450675372
508000	1.1938549907501113E-5	10593.912836509839
509000	9.514396843280053E-6	15038.018246424379
510000	5.0618276982561435E-5	25979.41719969233
511000	1.4134555195638152E-5	10400.21381734009
512000	4.839030202841551E-5	24246.340436613365
513000	9.185163592971324E-6	18889.98976571631
514000	5.011320850708336E-5	25354.206263137832
515000	2.167562102128772E-5	1051.4766567225083
516000	1.111491862280008E-5	2457.1211945795167
517000	5.031638869449877E-5	25346.58774766264
518000	6.6833617907501255E-6	6977.0543678980075
519000	6.717258623260899E-6	24280.251424181606
520000	4.4922182039413486E-5	24563.755467391373
521000	4.933271261045224E-5	25834.400754665257
522000	5.736046289562127E-6	25419.124298748524
523000	1.004361564050475E-5	3990.8062655526965
524000	2.7113395268617763E-5	3886.8137786427596
525000	2.9413600435996392E-5	9904.023120445218
526000	3.798044011647365E-5	19862.030518211555
527000	4.665516630056882E-5	24221.8567180255
528000	8.055655647173118E-6	21905.281504551902
529000	4.837559663853274E-5	5848.75486407184
530000	4.9669050523589796E-5	22563.441493600858
