# /home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau	Setting [workingDir=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/, obsFileName=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau, resultOutFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9/CPo3Ti40S400_9.pau_summary.log, regressionCoefFile=/home/biodept/sw167/SFABC/ABC_0522/TemplateFiles/CPo3Ti40S400_9.pau_regressionCoef.coef, doRegression=true, obsStat=[-3.923111739116133, -3.923111739116133], error=0.6678366502057872, seqLength=750, noSeqPerTime=50, noTime=3, noTotalSeq=150, timeGap=400, thinning=1000, noIteMCMC=1000000, noItePreprocess=100000]
Ite	mu	popsize
460000	9.785205887501177E-6	20245.983621820542
461000	9.785205887501177E-6	20245.983621820542
462000	9.785205887501177E-6	20245.983621820542
463000	9.785205887501177E-6	20245.983621820542
464000	9.785205887501177E-6	20245.983621820542
465000	9.785205887501177E-6	20245.983621820542
466000	9.785205887501177E-6	20245.983621820542
467000	9.785205887501177E-6	20245.983621820542
468000	9.785205887501177E-6	20245.983621820542
469000	9.785205887501177E-6	20245.983621820542
470000	9.785205887501177E-6	20245.983621820542
471000	9.785205887501177E-6	20245.983621820542
472000	9.785205887501177E-6	20245.983621820542
473000	9.785205887501177E-6	20245.983621820542
474000	9.785205887501177E-6	20245.983621820542
475000	9.785205887501177E-6	20245.983621820542
476000	9.785205887501177E-6	20245.983621820542
477000	9.785205887501177E-6	20245.983621820542
478000	9.785205887501177E-6	20245.983621820542
479000	9.785205887501177E-6	20238.868050611592
480000	9.785205887501177E-6	20238.868050611592
481000	9.785205887501177E-6	20238.868050611592
482000	9.785205887501177E-6	20238.868050611592
483000	9.785205887501177E-6	20238.868050611592
484000	9.785205887501177E-6	20238.868050611592
485000	9.785205887501177E-6	20480.197370481794
486000	9.785205887501177E-6	20480.197370481794
487000	9.785205887501177E-6	20480.197370481794
488000	9.785205887501177E-6	20480.197370481794
489000	9.785205887501177E-6	20480.197370481794
490000	9.785205887501177E-6	20480.197370481794
491000	9.785205887501177E-6	20480.197370481794
492000	9.785205887501177E-6	20480.197370481794
493000	9.785205887501177E-6	20480.197370481794
494000	9.785205887501177E-6	20480.197370481794
495000	9.785205887501177E-6	20480.197370481794
496000	9.785205887501177E-6	20480.197370481794
497000	9.785205887501177E-6	20480.197370481794
498000	9.785205887501177E-6	20480.197370481794
499000	9.785205887501177E-6	20480.197370481794
500000	9.785205887501177E-6	20480.197370481794
501000	9.785205887501177E-6	20480.197370481794
502000	9.785205887501177E-6	20480.197370481794
503000	9.785205887501177E-6	20480.197370481794
504000	9.785205887501177E-6	20480.197370481794
505000	9.785205887501177E-6	20480.197370481794
506000	9.785205887501177E-6	20480.197370481794
507000	9.785205887501177E-6	20480.197370481794
508000	9.785205887501177E-6	20480.197370481794
509000	9.785205887501177E-6	20480.197370481794
510000	9.785205887501177E-6	20480.197370481794
511000	9.785205887501177E-6	20480.197370481794
512000	9.708144354838773E-6	20480.197370481794
513000	9.585183042754582E-6	20480.197370481794
514000	9.585183042754582E-6	20480.197370481794
